states,x,y
Jammu & Kashmir,-91.0,194.0
Himachal Pradesh,-77.0,147.0
Punjab,-108.0,128.0
Haryana,-93.0,97.0
Rajasthan,-137.0,60.0
Gujarat,-165.0,4.0
Madhya Pradesh,-62.0,1.0
Uttar Pradesh,-24.0,62.0
Bihar,54.0,37.0
Jharkhand,40.0,2.0
West Bengal,86.0,-9.0
Sikkim,93.0,71.0
Arunachal Pradesh,192.0,85.0
Assam,159.0,52.0
Meghalaya,140.0,36.0
Nagaland,187.0,44.0
Manipur,177.0,23.0
Tripura,140.0,3.0
Mizoram,159.0,-1.0
Odisha,38.0,-43.0
Chhattisgarh,-9.0,-32.0
Maharashtra,-109.0,-68.0
Telangana,-51.0,-85.0
Karnataka,-104.0,-137.0
Andhra Pradesh,-56.0,-137.0
Tamil Nadu,-66.0,-199.0
Kerala,-88.0,-211.0
Goa,-126.0,-130.0
